rank,target,id,mission,period_days,depth_ppm,prob_mean,prob_std,fold_disagree,current_disposition,n_followup,discovery_score,confirmed_after_training,vetting_figure
73,TOI-5140.01,TIC 175193677,TESS,15.61,520,0.9606,0.0264,0.0259,PC,10.0,0.2159,False,
74,TOI-1718.01,TIC 257241363,TESS,5.59,1907,0.9601,0.0259,0.0253,PC,22.0,0.1123,True,
75,TOI-797.01,TIC 271596225,TESS,1.8,623,0.9601,0.0142,0.0125,PC,29.0,0.0889,False,
76,TOI-3494.01,TIC 165827520,TESS,7.75,5125,0.9601,0.0205,0.0197,PC,15.0,0.1569,False,
77,TOI-6530.01,TIC 49066806,TESS,5.33,1795,0.9599,0.0196,0.0188,PC,1.0,0.7064,False,
78,TOI-4326.01,TIC 303586471,TESS,1826.08,587,0.9596,0.0241,0.0235,PC,5.0,0.3514,False,
79,TOI-5507.01,TIC 377097547,TESS,1.51,734,0.9595,0.0249,0.0229,PC,22.0,0.1125,False,
80,TOI-6310.01,TIC 353893493,TESS,3.35,1762,0.9593,0.0218,0.0207,PC,8.0,0.2562,False,
81,TOI-4424.01,TIC 326386495,TESS,17.74,880,0.9593,0.0195,0.0184,PC,5.0,0.3531,False,
82,TOI-4349.01,TIC 313889049,TESS,749.16,1751,0.9589,0.018,0.0171,PC,5.0,0.3534,False,
83,TOI-5532.01,TIC 318836983,TESS,5.65,1223,0.9588,0.0237,0.0226,PC,12.0,0.1874,True,
84,TOI-5949.01,TIC 64282927,TESS,1.88,337,0.9588,0.019,0.0182,PC,6.0,0.3138,False,
85,TOI-5519.01,TIC 443582629,TESS,5.85,1275,0.9585,0.0249,0.0233,PC,24.0,0.104,False,
86,TOI-4405.01,TIC 177254988,TESS,5.92,1222,0.9578,0.0236,0.0227,PC,6.0,0.312,True,
87,TOI-5981.01,TIC 120045750,TESS,7.01,1867,0.9577,0.0171,0.0161,PC,7.0,0.2827,False,
88,TOI-5572.01,TIC 9151337,TESS,5.86,1146,0.9576,0.0305,0.0296,PC,10.0,0.2144,False,
89,TOI-2429.01,TIC 420051632,TESS,7.08,592,0.9573,0.0223,0.0214,PC,15.0,0.1561,False,
90,TOI-5551.01,TIC 387974148,TESS,2.41,1279,0.9573,0.017,0.0156,PC,12.0,0.1885,False,
91,TOI-4596.01,TIC 86951294,TESS,4.12,722,0.9572,0.0259,0.0254,PC,9.0,0.2332,False,
92,K06276.01,KIC 2557350,Kepler,3.1,248,0.9571,0.0248,0.0237,CANDIDATE,,0.9345,False,
93,TOI-6299.01,TIC 285505979,TESS,4.71,2426,0.9569,0.028,0.0246,PC,29.0,0.0875,False,
94,TOI-235.01,TIC 280095254,TESS,10.09,2586,0.9568,0.0244,0.022,PC,12.0,0.1872,False,
95,TOI-1215.01,TIC 453260209,TESS,1.21,501,0.9566,0.0268,0.0256,PC,7.0,0.2796,False,
96,TOI-4317.01,TIC 422914082,TESS,358.28,1863,0.9566,0.023,0.0221,PC,23.0,0.1079,False,
97,TOI-2501.01,TIC 134471108,TESS,5.33,1502,0.9564,0.0221,0.0214,PC,4.0,0.4011,False,
98,TOI-5709.01,TIC 286813592,TESS,3.38,797,0.9564,0.0215,0.0206,PC,12.0,0.1873,False,
99,TOI-5584.01,TIC 29169215,TESS,18.63,1620,0.9562,0.0239,0.0232,PC,8.0,0.2547,False,
100,TOI-802.01,TIC 167303382,TESS,3.69,75,0.9561,0.0254,0.0247,PC,4.0,0.3996,False,
101,TOI-7062.01,TIC 23961340,TESS,10.51,1611,0.9558,0.0246,0.0238,PC,7.0,0.2799,False,
102,K06568.01,KIC 5353938,Kepler,6.28,166,0.9558,0.0192,0.0181,CANDIDATE,,0.9385,False,
103,TOI-7309.01,TIC 161687285,TESS,7.76,14454,0.9558,0.0157,0.0143,PC,2.0,0.5653,False,
104,TOI-6901.01,TIC 262928973,TESS,3.27,451,0.9558,0.0244,0.0237,PC,4.0,0.3999,False,
105,TOI-2142.01,TIC 44313455,TESS,9.3,1595,0.9557,0.0267,0.0259,PC,20.0,0.1214,False,
106,TOI-2016.01,TIC 219508169,TESS,6.82,1377,0.9556,0.0243,0.0238,PC,22.0,0.1119,False,
107,TOI-5814.01,TIC 427041513,TESS,6.25,1174,0.9555,0.0185,0.0173,PC,8.0,0.2561,False,
108,TOI-1746.01,TIC 232650365,TESS,2.53,1259,0.9554,0.0245,0.0218,PC,18.0,0.1335,False,
109,TOI-1082.01,TIC 261108236,TESS,16.35,2212,0.9551,0.0226,0.0211,PC,8.0,0.255,False,https://github.com/OliverDonaldson/exoplanet-hunter/blob/main/docs/figures/vetting/tic_261108236_p16.347.png
110,TOI-458.01,TIC 64071894,TESS,17.53,1132,0.9551,0.0261,0.0252,PC,20.0,0.1214,False,
111,TOI-6372.01,TIC 115899725,TESS,6.56,1396,0.955,0.0228,0.0199,PC,7.0,0.2808,False,
112,TOI-932.01,TIC 260417932,TESS,19.31,1223,0.955,0.0233,0.0226,PC,11.0,0.2,False,
113,TOI-5605.01,TIC 252469648,TESS,5.91,980,0.955,0.0199,0.0184,PC,8.0,0.2557,True,
114,TOI-4642.01,TIC 336961891,TESS,3.6,2230,0.9549,0.0438,0.0425,PC,17.0,0.1371,False,
115,TOI-2457.01,TIC 117799904,TESS,14.2,1859,0.9548,0.0216,0.0206,PC,10.0,0.2158,False,
116,TOI-5718.01,TIC 17932757,TESS,716.84,1563,0.9547,0.02,0.0189,PC,9.0,0.2342,False,
117,TOI-4614.01,TIC 408809625,TESS,13.83,8899,0.9546,0.0238,0.0205,PC,14.0,0.165,False,
118,TOI-1011.01,TIC 114018671,TESS,2.47,273,0.9544,0.0242,0.0231,PC,11.0,0.1998,True,https://github.com/OliverDonaldson/exoplanet-hunter/blob/main/docs/figures/vetting/tic_114018671_p2.471.png
119,TOI-6091.01,TIC 336255880,TESS,5.19,1497,0.954,0.0238,0.0229,PC,7.0,0.2796,False,
120,TOI-1741.01,TIC 198206613,TESS,10.94,440,0.954,0.0304,0.0296,PC,11.0,0.1984,False,
121,TOI-2133.01,TIC 39200363,TESS,3.83,1182,0.9538,0.0219,0.0206,PC,15.0,0.1557,True,
122,TOI-870.01,TIC 219229644,TESS,22.04,1208,0.9537,0.0227,0.0216,PC,10.0,0.2153,False,
123,TOI-438.01,TIC 468880077,TESS,5.81,958,0.9536,0.0334,0.0329,PC,27.0,0.0922,False,
124,TOI-249.01,TIC 179985715,TESS,6.62,1341,0.9535,0.0209,0.0199,PC,16.0,0.1476,False,
125,TOI-6850.01,TIC 9166136,TESS,6.08,1366,0.9533,0.0244,0.0233,PC,10.0,0.2149,False,
126,TOI-5526.01,TIC 335540507,TESS,10.86,1019,0.9532,0.0211,0.0202,PC,16.0,0.1475,False,
127,TOI-5737.01,TIC 229618478,TESS,19.45,1327,0.953,0.026,0.0247,PC,7.0,0.2788,False,
128,TOI-6873.01,TIC 67395329,TESS,18.82,984,0.9529,0.0282,0.0264,PC,6.0,0.3092,False,
129,TOI-4632.01,TIC 336075472,TESS,63.14,1697,0.9528,0.0199,0.0187,PC,9.0,0.2338,False,
130,TOI-6074.01,TIC 99896567,TESS,12.13,171,0.9526,0.0291,0.0283,PC,4.0,0.3967,False,
131,TOI-2291.01,TIC 236934937,TESS,9.41,1426,0.9526,0.0203,0.0187,PC,11.0,0.2003,False,
132,TOI-5525.01,TIC 345450130,TESS,2.75,1026,0.9525,0.0204,0.0174,PC,10.0,0.216,False,
133,TOI-1745.01,TIC 232635922,TESS,5.98,2584,0.9524,0.0257,0.0247,PC,11.0,0.1991,False,
134,TOI-7688.01,TIC 80429950,TESS,2.54,4895,0.9522,0.019,0.0179,PC,0.0,0.9351,False,
135,TOI-1748.01,TIC 233071926,TESS,1.83,403,0.9519,0.0167,0.0151,PC,11.0,0.2009,False,
136,TOI-1264.01,TIC 416195870,TESS,2.74,5650,0.9518,0.021,0.0201,PC,21.0,0.1166,False,
137,TOI-4561.01,TIC 33716474,TESS,8.94,421,0.9513,0.0243,0.0232,PC,2.0,0.5575,True,
138,TOI-6245.01,TIC 446157122,TESS,3.21,1439,0.951,0.0265,0.0247,PC,17.0,0.1391,False,
139,TOI-5735.01,TIC 157769780,TESS,2.12,1149,0.9509,0.0273,0.025,PC,9.0,0.2318,False,
140,TOI-1533.01,TIC 345143460,TESS,3.65,1168,0.9508,0.0272,0.0266,PC,24.0,0.1028,False,
141,TOI-5629.01,TIC 298437387,TESS,2.29,1410,0.9508,0.0192,0.0176,PC,18.0,0.1334,False,
142,K08012.01,KIC 10452252,Kepler,34.57,399,0.9505,0.026,0.0227,CANDIDATE,,0.9289,False,
143,TOI-2079.01,TIC 224298134,TESS,1.49,670,0.9503,0.0171,0.0154,PC,21.0,0.117,False,
144,TOI-6678.01,TIC 253864764,TESS,3.43,844,0.9503,0.0281,0.0266,PC,4.0,0.3964,False,
145,TOI-6832.01,TIC 8995204,TESS,5.14,862,0.9502,0.0199,0.0188,PC,8.0,0.2543,False,
146,TOI-5729.01,TIC 103605399,TESS,554.5,6059,0.9502,0.0242,0.023,PC,7.0,0.2785,False,
